"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.63379363160344 41.92404042233872)","186","LINCOLN (ABRAHAM)","100","Polar Bear","-87.6337936316","41.9240404223","Viktor Bougaev","Lincoln Park Zoo","1,421","Polar Bear"
"POINT (-87.6349169582621 41.92081133719407)","187","LINCOLN (ABRAHAM)","100","Rabbit and Butterfly","-87.6349169583","41.9208113372","H. Wheatley Allen","Lincoln Park Zoo","1,422","Rabbit and Butterfly"
"POINT (-87.63299987117277 41.91933406117429)","188","LINCOLN (ABRAHAM)","100","Rites of Spring","-87.6329998712","41.9193340612","Milton Horn","Lincoln Park Zoo","1,423","Rites of Spring"
"POINT (-87.63455009491713 41.92149111542265)","189","LINCOLN (ABRAHAM)","100","Seal and Sea Lion","-87.6345500949","41.9214911154","Dino C. Crisanti","Lincoln Park Zoo","1,424",
"POINT (-87.63593197425493 41.91859734241095)","190","LINCOLN (ABRAHAM)","100","Siblings","-87.6359319743","41.9185973424","Janet Rosetta","Lincoln Park Zoo","1,425","Siblings"
"POINT (-87.63319006402917 41.92059766794846)","191","LINCOLN (ABRAHAM)","100","Sunform","-87.633190064","41.9205976679","David L. Rodgers","Lincoln Park Zoo","1,426","Sunform"
"POINT (-87.71644689486264 41.884948652428065)","231","GARFIELD (JAMES)","204","Green Line Mosaics","-87.7164468949","41.8849486524","Various","CTA","6,153",
"POINT (-87.55631014709489 41.760435426334105)","192","RAINBOW BEACH","1,001","50th Anniversary of the Rainbow Division WWI","-87.5563101471","41.7604354263",,"CPD","1,427",
"POINT (-87.68102697890372 41.70023193402458)","193","KING-LOCKHART (PATRICK, ANTHONY)","558","King Lockhart Memorial","-87.6810269789","41.700231934","John Alaniz & Marshall Svendsen","CPD","5,823","King Lockhart Memorial"
"POINT (-87.6207592049223 41.83883037795613)","194","DUNBAR (PAUL LAURENCE)","267","Paul Laurence Dunbar Monument","-87.6207592049","41.838830378","Debra Hand","CPD","5,819","Paul Laurence Dunbar Monument"
"POINT (-87.69495608758864 41.945934111309136)","195","CLARK (RICHARD)","457","Richard Clark Memorial","-87.6949560876","41.9459341113",,"CPD","6,110",
"POINT (-87.63244871307464 41.858841257986356)","196","TOM (PING) MEML.","481","Stone Talk","-87.6324487131","41.858841258","Yu Jiyong","CPD","6,115",
"POINT (-87.52987301783442 41.738203396972736)","197","STEELWORKERS","523","Trbute to the Past (Steelworker's Memorial)","-87.5298730178","41.738203397","Roman Villareal",,"6,116",
"POINT (-87.62076901476209 41.82629366616496)","198","ANDERSON (LOUIS)","1,020","Mosaic","-87.6207690148","41.8262936662","Jewell Pates","CPD","6,120","Anderson Mosaic"
"POINT (-87.71667689540728 41.94694864018101)","199","ATHLETIC FIELD","80","Playground Art","-87.7166768954","41.9469486402","Andy Hunt","CPD","6,121","Athletic Field Playground Art"
"POINT (-87.67668433415471 41.85260033681041)","200","BARRETT (JOHN)","1,022","Libertad","-87.6766843342","41.8526003368","Jesus Chucho Rodriguez","CPD","6,122",
"POINT (-87.6837977338941 41.708307760079606)","201","BEVERLY","254","Conner T. Lowry Memorial","-87.6837977339","41.7083077601","Marshall Scendsen & John Alaniz","CPD","6,124","Conner T. Lowry Memorial"
