"the_geom","OBJECTID","PARK","PARK_NO","NAME","X_COORD","Y_COORD","ARTIST","OWNER","GISOBJID","OFFICIAL_N"
"POINT (-87.69382037136397 42.01016587652167)","1","INDIAN BOUNDARY","165","River Suite","-87.6938203714","42.0101658765","Phil Schuster","CPD","5,856",
"POINT (-87.6810169751945 41.70025485196542)","2","KING-LOCKHART (PATRICK, ANTHONY)","558","Where Dreams Begin","-87.6810169752","41.700254852","Marshall Svendsen","CPD","5,822",
"POINT (-87.66135902067376 41.87171557171757)","3","ARRIGO (VICTOR)","215","Christopher Columbus and Fountain","-87.6613590207","41.8717155717","Moses Ezekiel","CPD","1,231","Christopher Columbus Monument at Arrigo"
"POINT (-87.59277601514071 41.79167964091983)","4","BIXLER (RAY)","1,083","Phil Richman Fountain","-87.5927760151","41.7916796409",,"CPD","1,232",
"POINT (-87.61652131557966 41.86080578892533)","5","BURNHAM (DANIEL)","27","American Doughboy (Spirit of the American Doughboy)","-87.6165213156","41.8608057889","Ernest Moore Viquesney","CPD","1,233","American Doughboy"
"POINT (-87.59719664210172 41.82065095129795)","6","BURNHAM (DANIEL)","27","Mermaid (La Sirena)","-87.5971966421","41.8206509513","Jose Moreno, Roman Villareal, Ed Fu & Fred Arroyo","CPD","1,234","Mermaid"
"POINT (-87.61422863058182 41.86244137800188)","7","BURNHAM (DANIEL)","27","Gold Star Families Memorial","-87.6142286306","41.862441378","David Woodhouse & Assoc.","CPD","1,235","Gold Star Families Memorial"
"POINT (-87.60977276910002 41.850698585451596)","8","BURNHAM (DANIEL)","27","Chicago Firefighter/Paramedic Memorial","-87.6097727691","41.8506985855","John Alaniz","CPD","1,236","Chicago Firefighter and Paramedic Memorial"
"POINT (-87.61484271097395 41.86457281020405)","9","BURNHAM (DANIEL)","27","Soldier Field Children's Garden","-87.614842711","41.8645728102","Peter Lindsay Schaudt",,"1,237",
"POINT (-87.61547852516993 41.86217556692968)","10","BURNHAM (DANIEL)","27","Special Olympics Memorial","-87.6154785252","41.8621755669","Richard Hunt","CPD","1,238",
"POINT (-87.61551276626103 41.86253310540177)","11","BURNHAM (DANIEL)","27","Tribute to George Halas","-87.6155127663","41.8625331054","Julie Rotblatt-Amrany",,"1,240",
"POINT (-87.57565840361937 41.79557382629405)","12","BURNHAM (DANIEL)","27","Wallach Fountain","-87.5756584036","41.7955738263","Frederick & Elisabeth Hibbard","CPD","1,241",
"POINT (-87.62134843217262 41.857077401975154)","13","CHICAGO WOMEN'S PARK AND GARDENS","550","Botanical Gardens Fountain","-87.6213484322","41.857077402","Tannis Langdon","CPD","1,243",
"POINT (-87.62123312437217 41.856971589963)","14","CHICAGO WOMEN'S PARK AND GARDENS","550","Jane Addams Memorial (Helping Hands)","-87.6212331244","41.85697159","Louise Bourgeois",,"1,244","Helping Hands"
"POINT (-87.67376927482256 41.896606957180886)","15","COMMERCIAL CLUB PGD. OF CHICAGO","1,006","Playground Art","-87.6737692748","41.8966069572","John Pittman Webber, CPAG","CPD","1,245","Commercial Club Playground Snake"
"POINT (-87.62913385319695 41.870815407005104)","16","DEARBORN (HENRY)","465","Alchemy -- Birds and Stone","-87.6291338532","41.870815407","Dan Yarborough","CPD","1,247","Alchemy -- Birds and Stone"
"POINT (-87.6701233384226 41.802959038230746)","17","CORNELL (PAUL) SQUARE","5","Paul Cornell Bust","-87.6701233384","41.8029590382","Sigvald Asbjørnsen","CPD","1,248",
"POINT (-87.63459834895994 41.812175287691836)","18","FULLER (MELVILLE)","4","Melville W. Fuller Bust","-87.634598349","41.8121752877","William Ordway Partridge","CPD","1,249","Melville W. Fuller Bust"
"POINT (-87.6345923085214 41.812060808232395)","19","FULLER (MELVILLE)","4","Fountain","-87.6345923085","41.8120608082",,"CPD","1,250",
"POINT (-87.71601342285204 41.88267268817989)","20","GARFIELD (JAMES)","204","Administration Bldg Interior Panels (Gold Dome Rotunda Panels)","-87.7160134229","41.8826726882","Richard W. Bock","CPD","1,251","Administration Building Interior Panels"
"POINT (-87.71865303467794 41.886595393988195)","21","GARFIELD (JAMES)","204","Bulls with Maidens (World Fair Bulls/Statues of Plenty)","-87.7186530347","41.886595394","Daniel Chester French, Edward C. Potter","CPD","1,252",
"POINT (-87.71600563382533 41.877058313545284)","22","GARFIELD (JAMES)","204","Norman Cornwall Memorial (WWI Obelisk)","-87.7160056338","41.8770583135","Carl J. Epiing","CPD","1,253",
"POINT (-87.71736073620313 41.88199070570859)","23","GARFIELD (JAMES)","204","Robert Burns Memorial","-87.7173607362","41.8819907057","William Grant Stevenson","CPD","1,254",
"POINT (-87.71682545353886 41.886275718669516)","24","GARFIELD (JAMES)","204","Conservatory Entrance Fountain","-87.7168254535","41.8862757187","Wolff, Clements & Assoc","CPD","1,255",
"POINT (-87.71606875984752 41.88178763815518)","25","GARFIELD (JAMES)","204","Lincoln the Rail-Splitter","-87.7160687598","41.8817876382","Charles J. Mulligan","CPD","1,256",
"POINT (-87.71730014924404 41.88633464364762)","26","GARFIELD (JAMES)","204","Pastoral & Idyl","-87.7173001492","41.8863346436","Lorado Taft","CPD","1,257",
"POINT (-87.71745675959744 41.88629260490634)","27","GARFIELD (JAMES)","204","Persian Pool (Yellow Lilies)","-87.7174567596","41.8862926049","Dale Chihuly","CPD","1,258",
"POINT (-87.7176772249683 41.886572499352944)","28","GARFIELD (JAMES)","204","Zellij Fountain","-87.717677225","41.8865724994","Said Ben Adiba","CPD","1,259",
"POINT (-87.66531080282407 41.87259175750929)","29","GARIBALDI (GIUSEPPE)","1,047","Giuseppe Garibaldi Monument","-87.6653108028","41.8725917575","Victor Gheradi","CPD","1,260",
"POINT (-87.7285509843918 41.97528794798177)","30","GOMPERS (SAMUEL)","40","Samuel Gompers Monument","-87.7285509844","41.975287948","Susan Clinard","CPD","1,261",
"POINT (-87.62687512642266 41.905506494685326)","31","GOUDY (WILLIAM) SQUARE","105","Turtle Fountain","-87.6268751264","41.9055064947","Walter Arnold","CPD","1,262","Turtle Fountain"
"POINT (-87.62336714116068 41.86809046894898)","32","GRANT (ULYSSES)","24","Agora","-87.6233671412","41.8680904689","Magdalena Abakanowicz","CPD","1,263",
"POINT (-87.61702906545413 41.86720060684098)","33","GRANT (ULYSSES)","24","Big Beaver Totem Pole","-87.6170290655","41.8672006068","Norman Tait Nishga","Field Museum","1,264","Big Beaver Totem Pole"
"POINT (-87.62273310262873 41.86802233789392)","34","GRANT (ULYSSES)","24","Central Station Fragments","-87.6227331026","41.8680223379","Bradford L. Gilbert","Metra","1,265","Central Station Fragments"
"POINT (-87.6189395449776 41.87579589064131)","35","GRANT (ULYSSES)","24","Clarence Buckingham Memorial Fountain","-87.618939545","41.8757958906","Marcel Francois Loyau","CPD","1,266","Clarence F. Buckingham Memorial Fountain"
"POINT (-87.6210632128268 41.880647392560434)","36","GRANT (ULYSSES)","24","Chicago Stock Exchange Arch","-87.6210632128","41.8806473926","Adler & Sullivan","Art Institute of Chicago","1,267","Chicago Stock Exchange Arch"
"POINT (-87.61961730766987 41.867928416128024)","37","GRANT (ULYSSES)","24","Christopher Columbus Monument","-87.6196173077","41.8679284161","Carl Brioschi","CPD","1,268",
"POINT (-87.6131632484535 41.88642129604776)","38","GRANT (ULYSSES)","24","Core-Loc Armoring Devices","-87.6131632485","41.886421296","US Army Corps of Engineers","CPD","1,269","Core-Loc Armoring Devices"
"POINT (-87.62380176926635 41.88032250596082)","39","GRANT (ULYSSES)","24","Cubi VII","-87.6238017693","41.880322506","David Smith","Art Institute of Chicago","1,270",
"POINT (-87.62370403272399 41.87547123705999)","40","GRANT (ULYSSES)","24","Eagle Fountains","-87.6237040327","41.8754712371","Frederick C. Hibbard","CPD","1,271",
"POINT (-87.62355836962718 41.875961061397454)","41","GRANT (ULYSSES)","24","Equestrian Indians","-87.6235583696","41.8759610614","Ivan Mestrovic","COD","1,272",
"POINT (-87.62333536231813 41.87191954407965)","42","GRANT (ULYSSES)","24","8th Street Fountain","-87.6233353623","41.8719195441","Bennett, Frost & Thomas","CPD","1,273","8th Street Fountain"
"POINT (-87.617449622096 41.88411394485134)","43","GRANT (ULYSSES)","24","Federal Building Columns","-87.6174496221","41.8841139449","Henry Ives Cobb","CPD","1,274",
"POINT (-87.62375778811557 41.88040834905512)","44","GRANT (ULYSSES)","24","Flying Dragon","-87.6237577881","41.8804083491","Alexander Calder","Art Institute of Chicago","1,275","Flying Dragon"
"POINT (-87.61808574197799 41.87772563511582)","45","GRANT (ULYSSES)","24","Fountain Figures","-87.618085742","41.8777256351","Leonard Crunelle","CPD","1,276","Fountain Figures"
"POINT (-87.6199028641447 41.87770120630011)","46","GRANT (ULYSSES)","24","Fountain Figures","-87.6199028641","41.8777012063","Leonard Crunelle","CPD","1,277","Fountain Figures"
"POINT (-87.61980209894604 41.873865308434276)","47","GRANT (ULYSSES)","24","Fountain Figures","-87.6198020989","41.8738653084","Leonard Crunelle","CPD","1,278","Fountain Figures"
"POINT (-87.61800115323992 41.87387792598914)","48","GRANT (ULYSSES)","24","Fountain Figures","-87.6180011532","41.873877926","Leonard Crunelle","CPD","1,279","Fountain Figures"
"POINT (-87.62365234050189 41.87876067611059)","49","GRANT (ULYSSES)","24","Fountain of the Great Lakes (Spirit of the Great Lakes)","-87.6236523405","41.8787606761","Lorado Taft","Art Institute of Chicago","1,280","Fountain of the Great Lakes"
"POINT (-87.62110019391307 41.88038856255983)","50","GRANT (ULYSSES)","24","In Celebration of the 200th Anniversary of the Founding of the Republic","-87.6211001939","41.8803885626","Isamu Noguchi","Art Institute of Chicago","1,281","In Celebration of the 200th Anniversary of the Founding of the Republic"
"POINT (-87.62151678071157 41.877318164902064)","51","GRANT (ULYSSES)","24","Abraham Lincoln (Seated Lincoln)","-87.6215167807","41.8773181649","Augustus Saint-Gaudens","CPD","1,282","Abraham Lincoln, Head of State"
"POINT (-87.62404343095747 41.879569302980926)","52","GRANT (ULYSSES)","24","Lions","-87.624043431","41.879569303","Edward Kemeys","Art Institute of Chicago","1,283",
"POINT (-87.62344453843014 41.870607500229895)","53","GRANT (ULYSSES)","24","John Alexander Logan Monument","-87.6234445384","41.8706075002","Augustus Saint-Gaudens, Alexander Proctor","CPD","1,284","General John Alexander Logan Monument"
"POINT (-87.61465003171851 41.86713041329802)","54","GRANT (ULYSSES)","24","Man With Fish","-87.6146500317","41.8671304133","Stephan Balkenhol","Shedd Aquarium","1,285","Man with Fish"
"POINT (-87.61554760706362 41.86698592205506)","55","GRANT (ULYSSES)","24","Olmec Head","-87.6158221846","41.8670448389","Ignacio Perez Salono","Field Museum","1,286","Olmec Head"
"POINT (-87.62390647618484 41.876976730482646)","56","GRANT (ULYSSES)","24","Paris Metro Entryway (Guimard)","-87.6239064762","41.8769767305","Hector Guimard","COC","1,287",
"POINT (-87.61905150072838 41.88060253042334)","57","GRANT (ULYSSES)","24","Reading Cones","-87.6190515007","41.8806025304","Richard Serra","COC","1,288","Reading Cones"
"POINT (-87.62377340866132 41.86869123995202)","58","GRANT (ULYSSES)","24","Rosenberg Fountain (Hebe)","-87.6237734087","41.86869124","Franz Machtl","CPD","1,289",
"POINT (-87.62395625231919 41.87809593719328)","59","GRANT (ULYSSES)","24","Sir Georg Solti Bust","-87.6239562523","41.8780959372","Dame Elisabeth Frink","CPD","1,290","Sir Georg Solti Bust"
"POINT (-87.62349854893861 41.87337048331674)","60","GRANT (ULYSSES)","24","Spirit of Music (Theodore Thomas Memorial)","-87.6234985489","41.8733704833","Albin Polasek","CPD","1,291","Spirit of Music"
"POINT (-87.6235911529199 41.8693213858094)","61","GRANT (ULYSSES)","24","Aaron Montgomery Ward Bust","-87.6235911529","41.8693213858","Milton Horn","CPD","1,292","Aaron Montgomery Ward Bust"
"POINT (-87.67171049596045 41.85680241801794)","62","HARRISON (CARTER)","213","Zapata Bust","-87.671710496","41.856802418","Gabriel Ponzanelli","CPD","1,293",
"POINT (-87.64378642436951 41.87945097030913)","63","HERITAGE GREEN","537","Grainne","-87.6437864244","41.8794509703","Maurice Harron","CPD","1,294","Grainne"
"POINT (-87.69822980838356 41.961088722859074)","64","HORNER (HENRY)","228","Henry Horner Monument","-87.6982298084","41.9610887229","John David Brcin","CPD","1,295",
"POINT (-87.7024061474904 41.903801066060424)","65","HUMBOLDT (ALEXANDER VON)","219","World's Fair Bison","-87.7024061475","41.9038010661","Edward Kemeys","CPD","1,296","World's Fair Bison"
"POINT (-87.70155949638307 41.906715734262534)","66","HUMBOLDT (ALEXANDER VON)","219","Leif Ericsson Monument","-87.7015594964","41.9067157343","Sigvald Asbjørnsen","CPD","1,297",
"POINT (-87.70145696230827 41.905471689272595)","67","HUMBOLDT (ALEXANDER VON)","219","Alexander von Humboldt Monument","-87.7014569623","41.9054716893","Felix Gorling","CPD","1,298",
"POINT (-87.69755953591446 41.90344917109184)","68","HUMBOLDT (ALEXANDER VON)","219","Home (Miner and Child)","-87.6975595359","41.9034491711","Charles Mulligan","CPD","1,299","Home"
"POINT (-87.69942047081001 41.90625514902749)","69","HUMBOLDT (ALEXANDER VON)","219","Interpreting Nature","-87.6994204708","41.906255149","Roman Villareal","CPD","1,300","Interpreting Nature"
"POINT (-87.70191922509807 41.90380101056041)","70","HUMBOLDT (ALEXANDER VON)","219","Fritz Reuter","-87.7019192251","41.9038010106","Franz Engelsman","CPD","1,301","Fritz Reuter Monument"
"POINT (-87.69218853487278 42.009120008197904)","71","INDIAN BOUNDARY","165","City Hall Keystone","-87.6921885349","42.0091200082","A.C. Goddard","CPD","1,302","City Hall Keystone"
"POINT (-87.69215050383393 42.00959926561315)","72","INDIAN BOUNDARY","165","Wind Harp","-87.6921505038","42.0095992656","Craig Brant","Craig Brant","1,303",
"POINT (-87.57989607879631 41.77959801004811)","73","JACKSON (ANDREW)","19","The Republic (Golden Lady)","-87.5798960788","41.77959801","Daniel Chester French","CPD","1,304","Statue of the Republic"
"POINT (-87.65394027204042 41.928852585318864)","74","JONQUIL","1,270","Eagle Columns","-87.653940272","41.9288525853","Richard Hunt","CPD","1,305",
"POINT (-87.68195872931726 41.68767465875753)","75","KENNEDY (DENNIS)","48","Playground Art","-87.6819587293","41.6876746588","Roman Villareal","CPD","1,306","Kennedy Playground Art"
"POINT (-87.65466770637869 41.75582070828418)","76","KING (MARTIN LUTHER, JR.)","265","Dr. Martin Luther King Bust","-87.6546677064","41.7558207083","Tina Allen","CPD","1,307",
"POINT (-87.70795575327563 41.989951615435984)","77","LEGION","274","Legion Park Gateway Plaza Fountain","-87.7079557533","41.9899516154","DeStefano & Partners","CPD","1,308","Legion Gateway Plaza Fountain"
"POINT (-87.63253673134574 41.9362143966971)","78","LINCOLN (ABRAHAM)","100","The Alarm","-87.6325367313","41.9362143967","John J. Boyle","CPD","1,309",
"POINT (-87.63753033435923 41.93218683347199)","79","LINCOLN (ABRAHAM)","100","John Peter Altgeld Monument","-87.6375303344","41.9321868335","Gutzon Borglum","CPD","1,310","John Peter Altgeld Monument"
"POINT (-87.63466187735784 41.91960257037629)","80","LINCOLN (ABRAHAM)","100","Hans Christian Andersen","-87.6346618774","41.9196025704","Johannes Gelert","CPD","1,311",
"POINT (-87.63521380651777 41.92273546269084)","81","LINCOLN (ABRAHAM)","100","Eli Bates Fountain (Storks at Play)","-87.6352138065","41.9227354627","Augustus Saint-Gaudens, Frederick MacMonnies","CPD","1,312","Eli Bates Fountain"
"POINT (-87.62759338835978 41.911340212899596)","82","LINCOLN (ABRAHAM)","100","Greene Vardiman Black","-87.6275933884","41.9113402129","Frederick C. Hibbard","CPD","1,313",
"POINT (-87.62498678170333 41.91129438592535)","83","LINCOLN (ABRAHAM)","100","Chess Pavillion","-87.6249867817","41.9112943859","Boris Gilbertson","CPD","1,314","Chess Pavilion"
"POINT (-87.63073782330007 41.911947915673714)","84","LINCOLN (ABRAHAM)","100","Chicago Fire Relic","-87.6307378233","41.9119479157",,"Chicago History Museum","1,315","Chicago Fire Relic"
"POINT (-87.63610699778161 41.91885630433601)","85","LINCOLN (ABRAHAM)","100","City Hall Relic (Finial)","-87.6361069978","41.9188563043","Jenney & Loring","CPD","1,316","City Hall Relic"
"POINT (-87.63134518530774 41.91293664861278)","86","LINCOLN (ABRAHAM)","100","Couch Tomb","-87.6313451853","41.9129366486","Van Osdel & Baumann","CPD","1,317","Couch Tomb"
"POINT (-87.6359714633803 41.9207440108867)","87","LINCOLN (ABRAHAM)","100","Cummings Playground Art","-87.6359714634","41.9207440109","Tom Tischler","CPD","1,318","Cummings Playground Art"
"POINT (-87.63338079012559 41.92613570048332)","88","LINCOLN (ABRAHAM)","100","Curve XXII (I Will)","-87.6333807901","41.9261357005","Ellsworth Kelly","CPD","1,319","Curve XXII"
"POINT (-87.63274296407683 41.91336528098969)","89","LINCOLN (ABRAHAM)","100","Robert Cavalier de LaSalle","-87.6327429641","41.913365281","Count Jacque de la Laing","CPD","1,320",
"POINT (-87.63142569510876 41.91133837102935)","90","LINCOLN (ABRAHAM)","100","Children's Fountain","-87.6314256951","41.911338371","Robinson Iron Works","CPD","1,321","Children's Fountain"
"POINT (-87.6310878306947 41.91379467635768)","91","LINCOLN (ABRAHAM)","100","Benjamin Franklin","-87.6310878307","41.9137946764","Richard Henry Park","CPD","1,322",
"POINT (-87.6352171686824 41.92417799428563)","92","LINCOLN (ABRAHAM)","100","Garden Figure","-87.6352171687","41.9241779943","Frederick C. Hibbard","CPD","1,323","Garden Figure"
"POINT (-87.6353822980556 41.92424569847701)","93","LINCOLN (ABRAHAM)","100","Goddess of Youth (Hebe)","-87.6353822981","41.9242456985",,"CPD","1,324","Goddess of Youth"
"POINT (-87.63860899159303 41.932602742697085)","94","LINCOLN (ABRAHAM)","100","Monument to Johann Wolfgang von Goethe","-87.6386089916","41.9326027427","Herman Hahn","CPD","1,325","Johann Wolfgang von Goethe"
"POINT (-87.63086269996307 41.91752909121652)","95","LINCOLN (ABRAHAM)","100","Ulysses S. Grant Memorial","-87.6308627","41.9175290912","Louis T. Rebisso","CPD","1,326","Ulysses S. Grant Monument"
"POINT (-87.63842731481422 41.93170596102239)","96","LINCOLN (ABRAHAM)","100","Alexander Hamilton","-87.6384273148","41.931705961","John Angel","CPD","1,327","Alexander Hamilton Monument"
"POINT (-87.63026626924581 41.91258964430383)","97","LINCOLN (ABRAHAM)","100","Abraham Lincoln Monument  (Standing Lincoln)","-87.6302662692","41.9125896443","Augustus Saint-Gaudens","CPD","1,328","Abraham Lincoln: The Man"
"POINT (-87.64943799499247 41.972463562947596)","98","LINCOLN (ABRAHAM)","100","Margate Park Playground Art","-87.649437995","41.9724635629","CPAG","CPD","1,329","Margate Park Playground Art"
"POINT (-87.63706564121047 41.930147655878706)","99","LINCOLN (ABRAHAM)","100","Richard Oglesby Monument","-87.6370656412","41.9301476559","Leonard Crunelle","CPD","1,330",
"POINT (-87.63110172969411 41.91241037882187)","100","LINCOLN (ABRAHAM)","100","Putnam Chain","-87.6311017297","41.9124103788",,"Chicago History Museum","1,331","Putnam Chain"
"POINT (-87.64242274936615 41.948972176951294)","101","LINCOLN (ABRAHAM)","100","Kwa-Ma-Rolas (Totem Pole)","-87.6424227494","41.948972177","Haida Indians","CPD","1,332",
"POINT (-87.64817371864805 41.96714806650291)","102","LINCOLN (ABRAHAM)","100","Dr. Jose Rizal","-87.6481737186","41.9671480665","Antonio T. Mondejar","CPD","1,333",
"POINT (-87.63899529612334 41.94301678345151)","103","LINCOLN (ABRAHAM)","100","Roscoe Playground Art","-87.6389952961","41.9430167835","CPAG","CPD","1,334","Roscoe Playground Art"
"POINT (-87.63519468662348 41.92199760651434)","104","LINCOLN (ABRAHAM)","100","Johann Christoph Friedrich von Schiller","-87.6351946866","41.9219976065","Ernst Bilhauer Rau","CPD","1,335",
"POINT (-87.6361940348421 41.92381172075357)","105","LINCOLN (ABRAHAM)","100","William Shakespeare","-87.6361940348","41.9238117208","William Ordway Partridge","CPD","1,336","William Shakespeare Monument"
"POINT (-87.63923851697 41.94044912622582)","106","LINCOLN (ABRAHAM)","100","Gen. Philip Henry Sheridan Monument","-87.639238517","41.9404491262","Gutzon Borglum","CPD","1,337",
"POINT (-87.63137739453491 41.93320610406139)","107","LINCOLN (ABRAHAM)","100","Signal of Peace","-87.6313773945","41.9332061041","Cyrus Edwin Dallin","CPD","1,338","A Signal of Peace"
"POINT (-87.63168617394444 41.93144818928008)","108","LINCOLN (ABRAHAM)","100","Emanuel Swedenborg Memorial","-87.6316861739","41.9314481893","Adolff Johnson","CPD","1,339","Emanuel Swedenborg Monument"
"POINT (-87.68956940777899 41.92849286918499)","109","LOGAN SQUARE SKATE","549","Silversurf Gate","-87.6895694078","41.9284928692","Lucy Slivinski",,"1,340","Silversurf Gate"
"POINT (-87.65818246115316 42.00594227748333)","110","PRINZ (TOBEY) BEACH","115","Windform","-87.6581824612","42.0059422775","Lynn Takata","CPD","6,195",
"POINT (-87.62816001275904 41.901738320979106)","111","MARIANO (LOUIS)","1,239","Botanical Gardens Fountain","-87.6281600128","41.901738321","Robinson Iron","CPD","1,342","Botanical Gardens Fountain"
"POINT (-87.69373109304362 41.771521669080855)","112","MARQUETTE (JACQUES)","10","Darius & Girenas Memorial","-87.693731093","41.7715216691","Raout Josset","CPD","1,343","Darius and Girenas Memorial"
"POINT (-87.68381322128188 41.82628253368329)","113","McKINLEY (WILLIAM)","23","William McKinley","-87.6838132213","41.8262825337","Charles Mulligan","CPD","1,344","William McKinley Memorial"
"POINT (-87.639052423557 41.92360395017394)","114","MID-NORTH","1,206","Fountain","-87.6390524236","41.9236039502","Gast Monuments",,"1,345","Mid-North Fountain"
"POINT (-87.5883289356531 41.78703181034242)","115","MIDWAY PLAISANCE","1,268","Cheney-Goode Memorial","-87.5883289357","41.7870318103","South Park Commission Architects","CPD","1,346",
"POINT (-87.59014909806889 41.786936401955)","116","MIDWAY PLAISANCE","1,268","Thomas Garrigue Masaryk (The Blanik Knight)","-87.5901490981","41.786936402","Albin Polásek","CPD","1,347","Thomas Garrigue Masaryk Monument"
"POINT (-87.59960525378584 41.78752960613894)","117","MIDWAY PLAISANCE","1,268","Carl von Linne","-87.5996052538","41.7875296061","Frithiof Kjellberg","CPD","1,348","Carl von Linne Monument"
"POINT (-87.64394563452974 41.92171837139124)","118","OZ","423","Tin Man","-87.6439456345","41.9217183714","John Kearney","CPD","5,634",
"POINT (-87.81811367958647 42.001749246484174)","119","MONUMENT","57","WWI Monument (Honor Roll for Vets)","-87.8181136796","42.0017492465","James J. Egan","CPD","1,352",
"POINT (-87.71230240560398 41.69094650021981)","120","MOUNT GREENWOOD","251","Playground Art","-87.7123024056","41.6909465002","CPAG","CPD","1,353","Mt. Greenwood Playground Art"
"POINT (-87.59337963401731 41.79918760180399)","121","NICHOLS (JOHN FOUNTAIN)","277","Bird of Peace (Guarding the Nest, the Egg)","-87.593379634","41.7991876018","Cosmo Campoli","CPD","1,354",
"POINT (-87.59366013118883 41.79916943305745)","122","NICHOLS (JOHN FOUNTAIN)","277","North Fountain","-87.5936601312","41.7991694331","Maria Whiteman","CPD","1,355",
"POINT (-87.59445098840975 41.795389334913146)","123","NICHOLS (JOHN FOUNTAIN)","277","South Fountain","-87.5944509884","41.7953893349","Gary Wojcik","CPD","1,356","Nichols South Fountain"
"POINT (-87.60654966553082 41.86564164899771)","124","NORTHERLY ISLAND","34","America's Courtyard","-87.6065496655","41.865641649","Denise Milan, Ary R. Perez","CPD","1,357","America's Courtyard"
"POINT (-87.60778938713209 41.86634898598428)","125","NORTHERLY ISLAND","34","Copernicus Monument","-87.6077893871","41.866348986","Bronislaw Koniuszy","COD","1,358",
"POINT (-87.61044895238298 41.866319124004924)","126","NORTHERLY ISLAND","34","Karel Havlicek","-87.6104489524","41.866319124","Joseph Strachovsky","CPD","1,359","Karel Havlicek Monument"
"POINT (-87.61250035531494 41.866279555150975)","127","NORTHERLY ISLAND","34","Thaddeus Kosciusko Monument","-87.6125003553","41.8662795552","Kasimir Chodzinski","CPD","1,360",
"POINT (-87.60710629671 41.866758537667145)","128","NORTHERLY ISLAND","34","Man Enters the Cosmos","-87.6071062967","41.8667585377","Henry Moore","CPD","1,361",
"POINT (-87.60717725422278 41.86600119729705)","129","NORTHERLY ISLAND","34","Spiral Galaxy","-87.6071772542","41.8660011973","John David Mooney","Adler Planetarium","1,362",
"POINT (-87.61989202832208 41.89026424752546)","130","OGDEN (WILLIAM) PLAZA","477","Floor Clock II","-87.6198920283","41.8902642475","Vito Acconci","CPD","1,363","Floor Clock II"
"POINT (-87.57434912557387 41.7344032016575)","131","OWENS (JESSE)","237","Playground Art","-87.5743491256","41.7344032017","Julia Sowles-Barlow, CPAG, Isiah and Rachel Terry","CPD","1,364","Owens Playground Art"
"POINT (-87.6439142497254 41.920214346420806)","132","OZ","423","Cowardly Lion","-87.6439142497","41.9202143464","John Kearney","CPD","1,365",
"POINT (-87.64621695045905 41.9216966926985)","133","OZ","423","Dorothy and Toto","-87.6462169505","41.9216966927","John Kearney","CPD","1,366","Dorothy and Toto"
"POINT (-87.64437122084611 41.92143997470188)","134","OZ","423","Scarecrow","-87.6443712208","41.9214399747","John Kearney","CPD","1,367","Scarecrow"
"POINT (-87.62760187554981 41.83551012996024)","135","PARK NO. 474","474","Man on a Bench","-87.6276018755","41.83551013","George Segal","Illinois Institute of Technology","1,369","Man on a Bench"
"POINT (-87.6005073594415 41.81980707118448)","136","WILLIAMS-DAVIS (HATTIE KAY, IZORA)","532","Restoration","-87.6005073594","41.8198070712","Milton Mizenburg Jr.",,"1,370",
"POINT (-87.65610305132927 41.75071921812805)","137","RENAISSANCE","509","Sculptural Fountain","-87.6561030513","41.7507192181","Jerzy Kenar","CPD","1,371",
"POINT (-87.66943993559725 41.98977464787889)","138","SENN (NICHOLAS)","227","The Young Lincoln","-87.6694399356","41.9897746479","Charles Keck","CPD","1,372",
